trade_date,symbol,shares,available_shares,average_cost,close,market_value
2021-04-19,SH510300,35100,35100,5.685757340661414,5.830144267299033,204638.06378219608
2021-04-20,SH510300,35100,35100,5.685757340661414,5.82097917511228,204316.36904644102
2021-04-21,SH510300,35100,35100,5.685757340661414,5.83472681339241,204798.9111500736
2021-04-22,SH510300,35100,35100,5.685757340661414,5.830144267299033,204638.06378219608
2021-04-23,SH510300,35100,35100,5.685757340661414,5.888571729989591,206688.86772263466
2021-04-26,SH510300,35100,35100,5.685757340661414,5.815250992495557,204115.30983659404
2021-04-27,SH510300,35100,35100,5.685757340661414,5.830144267299033,204638.06378219608
2021-04-28,SH510300,35100,35100,5.685757340661414,5.873678455186115,206166.11377703265
2021-04-29,SH510300,35100,35100,5.685757340661414,5.926377735259953,208015.85850762436
2021-04-30,SH510300,35100,35100,5.685757340661414,5.87482409170946,206206.32561900205
2021-05-06,SH510300,35100,35100,5.685757340661414,5.798066444645393,203512.13220705328
2021-05-07,SH510300,35100,35100,5.685757340661414,5.7281826167213925,201059.2098469209
2021-05-10,SH510300,35100,35100,5.685757340661414,5.727036980198047,201018.99800495146
2021-05-11,SH510300,35100,35100,5.685757340661414,5.756823529805,202064.5058961555
2021-05-12,SH510300,35100,35100,5.685757340661414,5.792338262028672,203311.0729972064
2021-05-13,SH510300,35100,35100,5.685757340661414,5.729328253244737,201099.42168889026
2021-05-14,SH510300,35100,35100,5.685757340661414,5.873678455186115,206166.11377703265
2021-05-17,SH510300,35100,35100,5.685757340661414,5.943562283110117,208619.0361371651
2021-05-18,SH510300,35100,35100,5.685757340661414,5.9458535561568056,208699.45982110387
2021-05-19,SH510300,35100,35100,5.685757340661414,5.929814644829985,208136.49403353248
2021-05-20,SH510300,35100,35100,5.685757340661414,5.9458535561568056,208699.45982110387
2021-05-21,SH510300,35100,35100,5.685757340661414,5.88284354737287,206487.80851278774
2021-05-24,SH510300,35100,35100,5.685757340661414,5.9149213700265095,207613.7400879305
2021-05-25,SH510300,35100,35100,5.685757340661414,6.102805759854971,214208.48217090947
2021-05-26,SH510300,35100,35100,5.685757340661414,6.103951396378316,214248.6940128789
2021-05-27,SH510300,35100,35100,5.685757340661414,6.125718490321858,215012.7190102972
2021-05-28,SH510300,35100,35100,5.685757340661414,6.108533942471692,214409.5413807564
2021-05-31,SH510300,35100,35100,5.685757340661414,6.115407761611759,214650.81243257274
2021-06-01,SH510300,35100,35100,5.685757340661414,6.1245728537985125,214972.50716832778
2021-06-02,SH510300,35100,35100,5.685757340661414,6.075310483294708,213243.39796364427
2021-06-03,SH510300,35100,35100,5.685757340661414,6.028339385837593,211594.7124428995
2021-06-04,SH510300,35100,35100,5.685757340661414,6.066145391107955,212921.7032278892
2021-06-07,SH510300,35100,35100,5.685757340661414,6.059271571967888,212680.43217607288
2021-06-08,SH510300,35100,35100,5.685757340661414,6.011154837987429,210991.53481335877
2021-06-09,SH510300,35100,35100,5.685757340661414,6.020319930174183,211313.2295491138
2021-06-10,SH510300,35100,35100,5.685757340661414,6.059271571967888,212680.43217607288
2021-06-11,SH510300,35100,35100,5.685757340661414,6.003135382324019,210710.05191957307
2021-06-15,SH510300,35100,35100,5.685757340661414,5.935542827446707,208337.5532433794
2021-06-16,SH510300,35100,35100,5.685757340661414,5.854202634289264,205482.51246355317
2021-06-17,SH510300,35100,35100,5.685757340661414,5.866804636046051,205924.84272521638
2021-06-18,SH510300,35100,35100,5.685757340661414,5.872532818662772,206125.9019350633
2021-06-21,SH510300,35100,35100,5.685757340661414,5.864513362999361,205844.41904127758
2021-06-22,SH510300,35100,35100,5.685757340661414,5.8942999126063125,206889.92693248155
2021-06-23,SH510300,35100,35100,5.685757340661414,5.929814644829985,208136.49403353248
2021-06-24,SH510300,35100,35100,5.685757340661414,5.944707919633461,208659.2479791345
2021-06-25,SH510300,35100,35100,5.685757340661414,6.037504478024347,211916.4071786546
2021-06-28,SH510300,35100,35100,5.685757340661414,6.0478152067344455,212278.31375637904
2021-06-29,SH510300,35100,35100,5.685757340661414,5.985950834473854,210106.87429003228
2021-06-30,SH510300,35100,35100,5.685757340661414,6.021465566697528,211353.44139108324
