trade_date,symbol,shares,available_shares,average_cost,close,market_value
2020-08-17,SH511010,500,0,122.8952987268314,122.89723971611551,61448.619858057755
2020-08-17,SH512010,2400,0,2.8114873333333334,2.848,6835.2
2020-08-17,SH513100,5000,0,4.0612470087,4.063,20315.0
2020-08-17,SH513500,5800,0,2.212967568965517,2.212,12829.6
2020-08-17,SH518880,1200,0,4.098212666666667,4.129,4954.799999999999
2020-08-17,SZ159928,2700,0,4.464081851851852,4.49,12123.0
2020-08-17,SZ161005,5300,0,6.1469145213,6.18,32754.0
2020-08-17,SZ163412,7200,0,5.77962086625,5.83,41976.0
2020-08-18,SH511010,500,500,122.8952987268314,122.97618284088684,61488.091420443416
2020-08-18,SH512010,2400,2400,2.8114873333333334,2.888,6931.2
2020-08-18,SH513100,5000,5000,4.0612470087,4.059,20295.0
2020-08-18,SH513500,5800,5800,2.212967568965517,2.209,12812.2
2020-08-18,SH518880,1200,1200,4.098212666666667,4.225,5070.0
2020-08-18,SZ159928,2700,2700,4.464081851851852,4.556,12301.2
2020-08-18,SZ161005,5300,5300,6.1469145213,6.182,32764.600000000002
2020-08-18,SZ163412,7200,7200,5.77962086625,5.833,41997.6
2020-08-19,SH511010,500,500,122.8952987268314,122.85776815372985,61428.884076864924
2020-08-19,SH512010,2400,2400,2.8114873333333334,2.787,6688.8
2020-08-19,SH513100,5000,5000,4.0612470087,4.111,20555.0
2020-08-19,SH513500,5800,5800,2.212967568965517,2.222,12887.6
2020-08-19,SH518880,1200,1200,4.098212666666667,4.177,5012.4
2020-08-19,SZ159928,2700,2700,4.464081851851852,4.538,12252.6
2020-08-19,SZ161005,5300,5300,6.1469145213,6.157,32632.1
2020-08-19,SZ163412,7200,7200,5.77962086625,5.801,41767.200000000004
2020-08-20,SH511010,500,500,122.8952987268314,122.58652767374633,61293.263836873164
2020-08-20,SH512010,2400,2400,2.8114873333333334,2.771,6650.4
2020-08-20,SH513100,5000,5000,4.0612470087,4.106,20530.0
2020-08-20,SH513500,5800,5800,2.212967568965517,2.196,12736.800000000001
2020-08-20,SH518880,1200,1200,4.098212666666667,4.088,4905.6
2020-08-20,SZ159928,2700,2700,4.464081851851852,4.46,12042.0
2020-08-20,SZ161005,5300,5300,6.1469145213,6.108,32372.399999999998
2020-08-20,SZ163412,7200,7200,5.77962086625,5.756,41443.200000000004
2020-08-21,SH511010,600,500,122.86036056717892,122.60879368329722,73565.27620997833
2020-08-21,SH512010,2200,2200,2.8114873333333334,2.79,6138.0
2020-08-21,SH513100,4600,4600,4.0612470087,4.21,19366.0
2020-08-21,SH513500,5600,5600,2.212967568965517,2.206,12353.6
2020-08-21,SH518880,900,900,4.098212666666667,4.091,3681.9
2020-08-21,SZ159928,2500,2500,4.464081851851852,4.515,11287.5
2020-08-21,SZ161005,4900,4900,6.1469145213,6.129,30032.1
